1001 47978
93 125 22.0
93 136 25.0
93 138 25.0
93 152 17.0
93 164 19.0
93 169 42.0
93 171 47.0
93 204 33.0
93 205 16.0
93 217 45.0
93 233 3.0
93 252 31.0
93 255 17.0
93 277 7.0
93 281 36.0
93 314 30.0
93 316 39.0
93 335 0.0
93 340 27.0
93 341 36.0
93 392 30.0
93 398 41.0
93 403 24.0
93 426 45.0
93 435 18.0
93 444 5.0
93 459 37.0
93 470 23.0
93 509 18.0
93 515 14.0
93 527 7.0
93 543 37.0
93 551 21.0
93 573 47.0
93 588 30.0
93 610 43.0
93 638 18.0
93 664 35.0
93 674 17.0
93 755 28.0
93 784 24.0
93 876 48.0
93 879 33.0
93 897 19.0
93 901 25.0
93 913 34.0
93 919 39.0
93 928 44.0
93 933 36.0
93 939 29.0
93 985 40.0
94 21 2.0
94 38 31.0
94 65 21.0
94 75 41.0
94 113 23.0
94 135 27.0
94 143 13.0
94 148 0.0
94 198 40.0
94 202 23.0
94 205 1.0
94 252 7.0
94 274 21.0
94 275 9.0
94 279 23.0
94 281 2.0
94 285 33.0
94 290 16.0
94 301 21.0
94 310 14.0
94 340 2.0
94 375 48.0
94 393 38.0
94 460 49.0
94 468 4.0
94 480 6.0
94 497 1.0
94 498 30.0
94 500 33.0
94 535 19.0
94 541 26.0
94 551 15.0
94 559 21.0
94 574 6.0
94 583 1.0
94 611 5.0
94 619 50.0
94 622 37.0
94 633 26.0
94 652 31.0
94 667 41.0
94 673 22.0
94 675 3.0
94 685 12.0
94 686 53.0
94 726 52.0
94 788 54.0
94 790 25.0
94 826 18.0
94 845 39.0
94 883 13.0
94 910 23.0
94 948 58.0
94 955 54.0
94 979 54.0
94 994 29.0
95 5 2.0
95 12 28.0
95 17 42.0
95 28 14.0
95 44 23.0
95 45 18.0
95 47 2.0
95 82 0.0
95 87 30.0
95 89 19.0
95 91 0.0
95 104 31.0
95 109 47.0
95 147 11.0
95 151 44.0
95 160 11.0
95 168 9.0
95 181 9.0
95 247 11.0
95 249 27.0
95 269 17.0
95 292 17.0
95 298 20.0
95 316 0.0
95 323 15.0
95 333 50.0
95 340 42.0
95 365 5.0
95 373 20.0
95 374 48.0
95 389 25.0
95 399 29.0
95 408 40.0
95 424 8.0
95 425 39.0
95 432 15.0
95 444 28.0
95 448 14.0
95 455 47.0
95 476 47.0
95 517 40.0
95 538 0.0
95 543 20.0
95 557 10.0
95 568 3.0
95 578 28.0
95 586 30.0
95 600 39.0
95 633 37.0
95 659 34.0
95 663 21.0
95 681 27.0
95 687 35.0
95 698 26.0
95 715 8.0
95 725 25.0
95 764 16.0
95 786 42.0
95 838 49.0
95 844 38.0
95 877 30.0
95 924 33.0
95 927 49.0
95 936 15.0
95 954 33.0
95 980 15.0
95 999 11.0
96 1 30.0
96 5 51.0
96 29 33.0
96 30 31.0
96 36 36.0
96 66 0.0
96 92 13.0
96 107 34.0
96 113 34.0
96 136 47.0
96 152 11.0
96 159 47.0
96 169 38.0
96 176 47.0
96 181 48.0
96 190 43.0
96 193 16.0
96 252 38.0
96 276 47.0
96 290 24.0
96 291 33.0
96 294 35.0
96 298 6.0
96 301 37.0
96 312 11.0
96 358 46.0
96 367 13.0
96 370 17.0
96 374 29.0
96 377 9.0
96 399 25.0
96 401 7.0
96 403 41.0
96 427 26.0
96 478 40.0
96 507 8.0
96 564 38.0
96 589 26.0
96 601 12.0
96 603 6.0
96 604 48.0
96 623 58.0
96 631 26.0
96 708 29.0
96 726 28.0
96 757 45.0
96 781 54.0
96 789 46.0
96 820 23.0
96 852 38.0
96 882 31.0
96 897 17.0
96 900 32.0
96 924 36.0
96 925 23.0
96 937 58.0
96 963 53.0
97 5 43.0
97 22 4.0
97 29 13.0
97 33 24.0
97 76 8.0
97 79 31.0
97 110 47.0
97 112 29.0
97 116 47.0
97 145 37.0
97 177 44.0
97 190 52.0
97 197 2.0
97 208 20.0
97 225 12.0
97 264 20.0
97 278 26.0
97 337 24.0
97 345 40.0
97 406 33.0
97 409 42.0
97 413 14.0
97 417 7.0
97 443 16.0
97 455 46.0
97 460 42.0
97 498 6.0
97 508 28.0
97 523 10.0
97 562 20.0
97 613 46.0
97 617 18.0
97 649 13.0
97 666 43.0
97 679 44.0
97 687 22.0
97 692 3.0
97 700 47.0
97 732 59.0
97 741 13.0
97 746 47.0
97 774 46.0
97 777 18.0
97 791 51.0
97 811 33.0
97 830 43.0
97 837 6.0
97 843 13.0
97 919 57.0
97 945 44.0
97 953 17.0
97 995 6.0
98 44 47.0
98 90 0.0
98 135 28.0
98 161 52.0
98 183 49.0
98 189 42.0
98 197 13.0
98 200 20.0
98 207 19.0
98 212 36.0
98 244 29.0
98 251 17.0
98 298 46.0
98 312 49.0
98 321 36.0
98 345 35.0
98 349 18.0
98 356 22.0
98 365 49.0
98 390 11.0
98 478 37.0
98 495 32.0
98 497 45.0
98 520 4.0
98 604 44.0
98 607 46.0
98 611 57.0
98 625 49.0
98 663 39.0
98 683 50.0
98 693 43.0
98 697 4.0
98 719 40.0
98 771 34.0
98 808 53.0
98 828 60.0
98 905 20.0
98 946 35.0
98 957 36.0
98 974 42.0
98 979 16.0
98 983 63.0
98 995 47.0
99 17 6.0
99 29 31.0
99 55 11.0
99 70 3.0
99 103 19.0
99 107 2.0
99 127 20.0
99 141 44.0
99 149 5.0
99 151 6.0
99 192 0.0
99 202 28.0
99 213 39.0
99 223 41.0
99 235 33.0
99 252 42.0
99 270 13.0
99 316 48.0
99 317 13.0
99 326 17.0
99 334 18.0
99 340 46.0
99 343 9.0
99 357 33.0
99 389 32.0
99 411 41.0
99 414 9.0
99 514 37.0
99 518 7.0
99 530 36.0
99 564 35.0
99 573 53.0
99 604 51.0
99 609 39.0
99 699 45.0
99 748 18.0
99 767 50.0
99 773 47.0
99 800 12.0
99 802 40.0
99 861 20.0
99 904 59.0
99 920 0.0
99 964 52.0
99 969 44.0
100 8 17.0
100 76 21.0
100 78 0.0
100 121 9.0
100 130 2.0
100 142 26.0
100 152 30.0
100 173 31.0
100 181 43.0
100 286 28.0
100 294 48.0
100 327 51.0
100 340 38.0
100 362 17.0
100 377 7.0
100 387 34.0
100 390 0.0
100 397 52.0
100 436 50.0
100 461 31.0
100 462 29.0
100 463 3.0
100 468 37.0
100 491 19.0
100 557 29.0
100 562 42.0
100 595 3.0
100 637 13.0
100 646 17.0
100 669 28.0
100 701 20.0
100 705 46.0
100 708 45.0
100 716 22.0
100 747 27.0
100 771 54.0
100 783 26.0
100 803 53.0
100 817 11.0
100 914 52.0
100 933 42.0
100 961 22.0
100 972 11.0
100 978 43.0
100 983 28.0
100 994 52.0
101 4 8.0
101 95 6.0
101 108 13.0
101 128 46.0
101 130 18.0
101 155 40.0
101 174 22.0
101 197 11.0
101 287 19.0
101 309 38.0
101 310 0.0
101 354 44.0
101 378 39.0
101 398 10.0
101 403 9.0
101 448 10.0
101 457 39.0
101 491 42.0
101 492 53.0
101 496 0.0
101 506 42.0
101 538 16.0
101 553 16.0
101 568 42.0
101 570 22.0
101 577 48.0
101 586 0.0
101 587 48.0
101 616 35.0
101 687 22.0
101 702 34.0
101 757 42.0
101 801 36.0
101 802 6.0
101 807 24.0
101 822 15.0
101 842 10.0
101 929 51.0
101 980 52.0
101 982 38.0
101 991 22.0
101 992 49.0
102 30 12.0
102 40 0.0
102 50 7.0
102 62 0.0
102 67 31.0
102 81 18.0
102 101 13.0
102 104 12.0
102 121 45.0
102 123 45.0
102 142 10.0
102 161 44.0
102 165 34.0
102 172 32.0
102 197 38.0
102 207 35.0
102 255 46.0
102 290 43.0
102 312 39.0
102 330 0.0
102 346 18.0
102 353 37.0
102 367 33.0
102 379 41.0
102 397 44.0
102 410 40.0
102 430 26.0
102 554 14.0
102 555 16.0
102 584 1.0
102 599 23.0
102 607 36.0
102 617 10.0
102 629 10.0
102 648 44.0
102 669 17.0
102 682 52.0
102 711 10.0
102 719 7.0
102 727 50.0
102 758 12.0
102 759 12.0
102 771 57.0
102 790 32.0
102 805 52.0
102 834 43.0
102 900 46.0
102 901 39.0
102 904 61.0
102 909 6.0
102 922 28.0
102 935 21.0
102 936 7.0
102 953 21.0
102 969 54.0
102 987 20.0
103 3 14.0
103 5 50.0
103 6 24.0
103 13 14.0
103 14 14.0
103 24 17.0
103 31 35.0
103 67 37.0
103 68 35.0
103 96 10.0
103 104 30.0
103 106 40.0
103 124 25.0
103 153 33.0
103 165 37.0
103 169 1.0
103 202 14.0
103 273 17.0
103 284 23.0
103 293 51.0
103 315 38.0
103 332 22.0
103 340 24.0
103 344 53.0
103 390 7.0
103 414 26.0
103 416 20.0
103 441 51.0
103 443 24.0
103 494 34.0
103 495 11.0
103 498 9.0
103 504 50.0
103 514 40.0
103 547 32.0
103 548 48.0
103 569 35.0
103 589 36.0
103 601 2.0
103 657 7.0
103 671 45.0
103 686 49.0
103 705 18.0
103 720 17.0
103 728 38.0
103 733 33.0
103 745 8.0
103 792 26.0
103 797 21.0
103 801 33.0
103 815 51.0
103 820 20.0
103 857 59.0
103 863 56.0
103 877 40.0
103 895 63.0
103 920 15.0
103 931 54.0
103 956 44.0
104 6 51.0
104 16 46.0
104 67 43.0
104 96 32.0
104 103 31.0
104 149 32.0
104 176 1.0
104 212 49.0
104 215 47.0
104 223 8.0
104 284 28.0
104 286 49.0
104 299 42.0
104 310 37.0
104 343 49.0
104 347 27.0
104 375 14.0
104 396 0.0
104 404 26.0
104 423 56.0
104 467 27.0
104 486 34.0
104 513 27.0
104 530 31.0
104 540 35.0
104 611 12.0
104 630 28.0
104 631 11.0
104 632 40.0
104 705 58.0
104 706 44.0
104 731 53.0
104 756 27.0
104 763 9.0
104 778 38.0
104 811 53.0
104 826 50.0
104 834 30.0
104 901 31.0
104 902 17.0
104 903 42.0
104 954 42.0
104 979 19.0
104 996 29.0
104 998 23.0
105 1 38.0
105 2 1.0
105 4 41.0
105 5 49.0
105 10 23.0
105 12 5.0
105 18 36.0
105 34 0.0
105 61 49.0
105 73 25.0
105 129 24.0
105 136 37.0
105 166 41.0
105 189 26.0
105 200 9.0
105 220 28.0
105 234 40.0
105 271 35.0
105 294 50.0
105 340 28.0
105 355 19.0
105 362 22.0
105 363 3.0
105 364 30.0
105 380 4.0
105 382 35.0
105 404 8.0
105 419 52.0
105 465 7.0
105 491 35.0
105 504 0.0
105 512 44.0
105 516 33.0
105 547 31.0
105 574 21.0
105 575 41.0
105 581 39.0
105 587 3.0
105 601 35.0
105 607 17.0
105 614 58.0
105 619 15.0
105 682 36.0
105 683 47.0
105 727 16.0
105 732 34.0
105 754 35.0
105 771 18.0
105 779 30.0
105 806 13.0
105 819 32.0
105 859 20.0
105 861 8.0
105 885 33.0
105 893 13.0
105 896 52.0
105 925 24.0
105 934 35.0
105 937 28.0
105 945 15.0
105 948 11.0
105 988 26.0
106 9 44.0
106 22 27.0
106 32 23.0
106 36 25.0
106 58 36.0
106 109 40.0
106 150 0.0
106 174 35.0
106 201 18.0
106 203 11.0
106 204 10.0
106 255 31.0
106 308 24.0
106 329 40.0
106 408 17.0
106 424 24.0
106 462 43.0
106 463 3.0
106 478 33.0
106 490 41.0
106 544 6.0
106 556 38.0
106 592 25.0
106 598 9.0
106 601 47.0
106 626 27.0
106 643 36.0
106 720 50.0
106 749 48.0
106 822 57.0
106 829 42.0
106 861 39.0
106 866 23.0
106 889 21.0
106 895 58.0
106 902 1.0
106 918 19.0
106 949 1.0
106 986 21.0
107 11 41.0
107 25 43.0
107 45 41.0
107 49 15.0
107 97 20.0
107 110 10.0
107 138 29.0
107 162 6.0
107 164 0.0
107 186 26.0
107 206 11.0
107 215 2.0
107 224 5.0
107 243 14.0
107 288 42.0
107 290 22.0
107 312 50.0
107 334 38.0
107 349 16.0
107 354 16.0
107 373 29.0
107 381 33.0
107 404 47.0
107 415 49.0
107 421 34.0
107 447 28.0
107 461 17.0
107 547 11.0
107 576 44.0
107 612 17.0
107 627 31.0
107 633 38.0
107 675 16.0
107 718 34.0
107 721 43.0
107 750 6.0
107 791 24.0
107 814 16.0
107 816 13.0
107 824 1.0
107 830 46.0
107 842 9.0
107 861 37.0
107 883 49.0
107 884 42.0
107 919 20.0
107 926 48.0
107 938 26.0
107 972 19.0
107 983 23.0
107 986 50.0
108 51 14.0
108 63 0.0
108 74 46.0
108 110 15.0
108 115 42.0
108 130 14.0
108 144 11.0
108 150 33.0
108 160 49.0
108 164 13.0
108 184 9.0
108 203 15.0
108 220 36.0
108 224 39.0
108 230 18.0
108 252 32.0
108 259 34.0
108 262 16.0
108 263 0.0
108 275 47.0
108 303 5.0
108 310 34.0
108 330 43.0
108 349 27.0
108 360 31.0
108 381 1.0
108 388 35.0
108 455 12.0
108 464 20.0
108 483 8.0
108 487 9.0
108 506 42.0
108 516 44.0
108 550 26.0
108 577 37.0
108 625 14.0
108 667 33.0
108 675 18.0
108 716 44.0
108 724 45.0
108 779 3.0
108 791 29.0
108 828 19.0
108 843 19.0
108 853 18.0
108 872 47.0
108 900 27.0
108 904 34.0
108 908 40.0
108 917 30.0
108 953 47.0
108 954 33.0
108 972 46.0
109 5 5.0
109 35 42.0
109 54 14.0
109 69 42.0
109 107 25.0
109 130 3.0
109 135 31.0
109 155 29.0
109 167 25.0
109 168 34.0
109 189 0.0
109 197 42.0
109 209 26.0
109 211 26.0
109 216 0.0
109 220 44.0
109 273 51.0
109 280 43.0
109 303 44.0
109 317 33.0
109 349 33.0
109 351 23.0
109 420 8.0
109 464 21.0
109 477 31.0
109 484 6.0
109 494 31.0
109 514 20.0
109 530 48.0
109 542 12.0
109 549 29.0
109 556 42.0
109 594 51.0
109 598 29.0
109 599 41.0
109 641 11.0
109 644 30.0
109 694 40.0
109 727 31.0
109 736 7.0
109 737 13.0
109 758 45.0
109 800 52.0
109 846 34.0
109 858 34.0
109 859 9.0
109 874 1.0
109 914 35.0
109 920 38.0
109 949 24.0
109 954 10.0
109 976 15.0
110 17 3.0
110 54 12.0
110 61 40.0
110 64 9.0
110 94 3.0
110 135 22.0
110 146 4.0
110 225 35.0
110 282 34.0
110 302 17.0
110 341 40.0
110 366 37.0
110 371 25.0
110 396 7.0
110 415 2.0
110 417 14.0
110 429 26.0
110 433 48.0
110 434 25.0
110 508 2.0
110 522 41.0
110 572 0.0
110 579 43.0
110 608 37.0
110 610 0.0
110 626 39.0
110 666 18.0
110 670 31.0
110 698 35.0
110 707 2.0
110 715 21.0
110 738 0.0
110 772 13.0
110 829 10.0
110 843 14.0
110 850 37.0
110 870 35.0
110 887 22.0
110 912 25.0
110 952 0.0
110 966 11.0
110 968 28.0
110 998 9.0
111 17 18.0
111 57 42.0
111 67 9.0
111 181 31.0
111 187 40.0
111 188 3.0
111 202 33.0
111 218 13.0
111 231 44.0
111 251 7.0
111 275 24.0
111 277 32.0
111 283 25.0
111 287 13.0
111 291 6.0
111 356 39.0
111 377 33.0
111 380 35.0
111 389 35.0
111 424 34.0
111 441 35.0
111 480 22.0
111 526 1.0
111 543 19.0
111 549 25.0
111 591 8.0
111 618 0.0
111 622 31.0
111 654 41.0
111 671 21.0
111 675 23.0
111 678 40.0
111 708 48.0
111 715 3.0
111 720 44.0
111 748 41.0
111 767 22.0
111 801 40.0
111 805 49.0
111 818 33.0
111 878 0.0
111 892 12.0
111 948 52.0
111 989 29.0
112 22 13.0
112 23 39.0
112 25 22.0
112 36 27.0
112 83 23.0
112 140 40.0
112 146 7.0
112 174 25.0
112 192 48.0
112 214 3.0
112 247 34.0
112 256 21.0
112 277 27.0
112 364 38.0
112 378 26.0
112 413 46.0
112 414 0.0
112 438 37.0
112 536 0.0
112 538 23.0
112 567 49.0
112 648 4.0
112 654 46.0
112 665 26.0
112 690 45.0
112 769 12.0
112 796 57.0
112 807 26.0
112 830 21.0
112 836 60.0
112 877 43.0
112 933 42.0
112 938 50.0
112 960 11.0
112 980 19.0
113 7 37.0
113 25 14.0
113 32 18.0
113 53 40.0
113 82 19.0
113 87 38.0
113 94 35.0
113 103 8.0
113 115 0.0
113 131 5.0
113 155 5.0
113 159 48.0
113 182 21.0
113 198 32.0
113 216 44.0
113 225 14.0
113 235 0.0
113 310 19.0
113 314 49.0
113 368 46.0
113 407 0.0
113 452 42.0
113 467 33.0
113 475 27.0
113 487 36.0
113 496 17.0
113 505 9.0
113 534 26.0
113 536 39.0
113 550 12.0
113 555 33.0
113 586 50.0
113 592 41.0
113 636 13.0
113 649 58.0
113 655 50.0
113 657 9.0
113 675 17.0
113 705 11.0
113 707 7.0
113 723 10.0
113 755 46.0
113 804 56.0
113 816 36.0
113 820 12.0
113 824 33.0
113 877 26.0
113 880 7.0
113 895 57.0
113 897 49.0
113 916 17.0
113 921 14.0
113 928 14.0
113 955 33.0
113 996 23.0
114 1 18.0
114 12 36.0
114 29 38.0
114 42 50.0
114 128 31.0
114 154 22.0
114 157 36.0
114 171 36.0
114 173 3.0
114 184 11.0
114 198 1.0
114 200 6.0
114 203 14.0
114 214 6.0
114 240 45.0
114 250 50.0
114 255 30.0
114 262 8.0
114 275 20.0
114 314 54.0
114 362 26.0
114 483 14.0
114 512 59.0
114 526 55.0
114 528 17.0
114 539 24.0
114 556 44.0
114 619 41.0
114 643 14.0
114 644 7.0
114 700 24.0
114 704 42.0
114 743 21.0
114 765 46.0
114 799 17.0
114 800 21.0
114 806 35.0
114 809 35.0
114 823 22.0
114 832 19.0
114 895 20.0
114 896 54.0
114 927 16.0
114 947 27.0
114 981 41.0
115 33 46.0
115 43 22.0
115 71 34.0
115 107 22.0
115 110 7.0
115 118 23.0
115 143 6.0
115 147 6.0
115 248 38.0
115 279 41.0
115 295 54.0
115 331 46.0
115 341 4.0
115 373 12.0
115 378 27.0
115 380 21.0
115 408 38.0
115 427 28.0
115 428 45.0
115 484 5.0
115 504 30.0
115 508 48.0
115 517 49.0
115 531 40.0
115 548 14.0
115 577 3.0
115 600 43.0
115 610 17.0
115 642 34.0
115 644 35.0
115 692 46.0
115 703 28.0
115 707 19.0
115 708 7.0
115 713 38.0
115 741 15.0
115 764 19.0
115 792 47.0
115 801 0.0
115 850 59.0
115 852 23.0
115 902 53.0
115 905 21.0
115 919 27.0
115 924 39.0
115 961 29.0
115 990 8.0
116 15 43.0
116 19 0.0
116 26 15.0
116 35 22.0
116 46 40.0
116 53 43.0
116 54 20.0
116 61 20.0
116 72 13.0
116 96 23.0
116 114 22.0
116 135 2.0
116 150 49.0
116 157 45.0
116 158 0.0
116 196 12.0
116 211 50.0
116 213 17.0
116 244 33.0
116 255 14.0
116 305 31.0
116 330 6.0
116 335 51.0
116 345 6.0
116 362 49.0
116 368 32.0
116 373 48.0
116 405 10.0
116 424 48.0
116 433 30.0
116 439 45.0
116 459 6.0
116 567 36.0
116 596 8.0
116 601 35.0
116 643 32.0
116 669 44.0
116 670 8.0
116 689 17.0
116 739 54.0
116 771 33.0
116 774 45.0
116 805 57.0
116 822 13.0
116 833 43.0
116 856 44.0
116 865 28.0
116 880 16.0
116 886 41.0
116 901 42.0
116 940 47.0
116 964 54.0
116 982 40.0
116 984 31.0
116 987 31.0
116 994 21.0
116 996 59.0
117 24 26.0
117 34 37.0
117 84 0.0
117 108 34.0
117 124 8.0
117 130 30.0
117 134 26.0
117 146 7.0
117 165 21.0
117 170 3.0
117 199 49.0
117 203 44.0
117 220 4.0
117 264 11.0
117 269 1.0
117 271 36.0
117 280 31.0
117 309 45.0
117 316 22.0
117 318 5.0
117 354 11.0
117 358 29.0
117 376 27.0
117 415 36.0
117 426 43.0
117 440 29.0
117 457 0.0
117 479 16.0
117 488 41.0
117 491 41.0
117 497 36.0
117 500 24.0
117 514 11.0
117 537 11.0
117 539 6.0
117 553 41.0
117 613 14.0
117 734 5.0
117 751 18.0
117 775 21.0
117 798 36.0
117 799 9.0
117 857 54.0
117 884 29.0
117 927 6.0
117 928 34.0
117 933 21.0
117 935 38.0
117 954 17.0
117 975 32.0
117 987 31.0
117 989 34.0
118 15 35.0
118 22 12.0
118 48 27.0
118 65 37.0
118 77 22.0
118 108 6.0
118 124 0.0
118 148 25.0
118 158 2.0
118 176 14.0
118 181 17.0
118 201 35.0
118 221 22.0
118 252 19.0
118 267 5.0
118 271 27.0
118 281 39.0
118 293 32.0
118 299 3.0
118 303 30.0
118 311 24.0
118 341 34.0
118 379 13.0
118 400 19.0
118 408 10.0
118 421 12.0
118 434 9.0
118 461 23.0
118 467 0.0
118 476 37.0
118 498 5.0
118 531 45.0
118 539 4.0
118 552 33.0
118 572 19.0
118 585 38.0
118 603 49.0
118 619 42.0
118 653 21.0
118 656 7.0
118 666 7.0
118 669 36.0
118 670 43.0
118 694 37.0
118 698 46.0
118 772 46.0
118 780 48.0
118 792 9.0
118 802 29.0
118 899 34.0
118 911 43.0
118 912 35.0
118 952 2.0
118 954 32.0
118 963 3.0
119 2 30.0
119 18 18.0
119 51 36.0
119 65 14.0
119 68 28.0
119 96 12.0
119 129 8.0
119 136 1.0
119 155 39.0
119 189 23.0
119 198 0.0
119 246 36.0
119 251 17.0
119 254 42.0
119 291 24.0
119 321 15.0
119 341 2.0
119 350 20.0
119 361 45.0
119 455 27.0
119 479 38.0
119 498 40.0
119 514 52.0
119 536 38.0
119 543 15.0
119 594 8.0
119 615 25.0
119 623 10.0
119 624 24.0
119 710 27.0
119 722 49.0
119 750 49.0
119 754 45.0
119 776 6.0
119 789 49.0
119 802 34.0
119 803 6.0
119 824 16.0
119 867 4.0
119 885 2.0
119 928 22.0
119 937 17.0
119 974 13.0
120 7 10.0
120 39 24.0
120 46 8.0
120 56 3.0
120 130 36.0
120 146 30.0
120 191 37.0
120 224 46.0
120 242 13.0
120 264 45.0
120 288 51.0
120 300 37.0
120 334 6.0
120 336 4.0
120 352 0.0
120 359 15.0
120 413 44.0
120 423 43.0
120 463 5.0
120 467 44.0
120 469 6.0
120 470 23.0
120 476 6.0
120 499 8.0
120 503 5.0
120 504 30.0
120 505 22.0
120 509 4.0
120 513 50.0
120 528 16.0
120 531 5.0
120 548 2.0
120 562 18.0
120 563 49.0
120 572 40.0
120 601 2.0
120 603 54.0
120 630 25.0
120 670 9.0
120 674 21.0
120 688 58.0
120 708 11.0
120 789 39.0
120 797 51.0
120 801 9.0
120 854 7.0
120 855 45.0
120 909 30.0
120 912 13.0
120 914 36.0
120 938 18.0
120 946 7.0
120 971 6.0
120 975 35.0
121 31 7.0
121 45 3.0
121 68 11.0
121 79 28.0
121 131 40.0
121 144 20.0
121 201 14.0
121 223 43.0
121 224 29.0
121 254 6.0
121 347 0.0
121 363 46.0
121 376 27.0
121 384 47.0
121 441 44.0
121 459 23.0
121 496 48.0
121 517 36.0
121 538 40.0
121 565 0.0
121 626 14.0
121 631 26.0
121 652 29.0
121 658 6.0
121 695 10.0
121 703 31.0
121 772 16.0
121 827 11.0
121 869 51.0
121 874 33.0
121 911 26.0
121 920 4.0
121 939 35.0
121 962 24.0
121 964 12.0
121 979 37.0
121 981 19.0
121 983 45.0
121 991 34.0
122 2 8.0
122 19 28.0
122 22 39.0
122 25 48.0
122 26 31.0
122 33 42.0
122 52 41.0
122 67 2.0
122 69 11.0
122 84 8.0
122 94 15.0
122 107 42.0
122 131 18.0
122 137 34.0
122 144 44.0
122 176 15.0
122 177 20.0
122 212 30.0
122 239 0.0
122 253 39.0
122 277 21.0
122 343 18.0
122 364 35.0
122 365 22.0
122 379 13.0
122 383 48.0
122 414 27.0
122 463 9.0
122 469 19.0
122 478 33.0
122 506 35.0
122 532 39.0
122 540 7.0
122 590 27.0
122 615 33.0
122 640 14.0
122 644 4.0
122 654 50.0
122 655 26.0
122 661 33.0
122 662 35.0
122 689 52.0
122 707 20.0
122 710 7.0
122 722 51.0
122 727 13.0
122 755 44.0
122 798 32.0
122 801 0.0
122 834 13.0
122 842 38.0
122 849 21.0
122 868 7.0
122 903 0.0
122 920 29.0
122 929 26.0
122 966 52.0
122 979 39.0
122 995 7.0
123 27 27.0
123 44 11.0
123 47 46.0
123 92 3.0
123 93 26.0
123 107 46.0
123 128 46.0
123 136 40.0
123 148 27.0
123 211 34.0
123 218 32.0
123 230 29.0
123 249 42.0
123 263 35.0
123 264 47.0
123 272 10.0
123 281 25.0
123 291 25.0
123 297 52.0
123 299 48.0
123 309 0.0
123 355 17.0
123 357 23.0
123 375 39.0
123 376 20.0
123 392 51.0
123 398 46.0
123 400 51.0
123 413 15.0
123 464 39.0
123 514 16.0
123 528 37.0
123 586 41.0
123 597 22.0
123 626 38.0
123 656 31.0
123 698 24.0
123 706 27.0
123 709 7.0
123 758 48.0
123 779 52.0
123 786 49.0
123 795 14.0
123 814 31.0
123 816 33.0
123 830 27.0
123 873 10.0
123 875 49.0
123 897 26.0
123 929 14.0
123 952 27.0
123 955 11.0
124 50 34.0
124 76 46.0
124 84 19.0
124 96 18.0
124 108 28.0
124 120 17.0
124 142 18.0
124 147 8.0
124 158 17.0
124 184 37.0
124 210 25.0
124 233 43.0
124 235 44.0
124 237 9.0
124 261 0.0
124 262 36.0
124 284 14.0
124 298 4.0
124 344 46.0
124 420 40.0
124 427 16.0
124 441 29.0
124 455 37.0
124 459 0.0
124 467 28.0
124 514 11.0
124 520 2.0
124 534 4.0
124 568 43.0
124 603 14.0
124 644 14.0
124 661 34.0
124 678 29.0
124 679 16.0
124 703 22.0
124 709 47.0
124 747 15.0
124 764 20.0
124 843 33.0
124 871 6.0
124 904 17.0
124 939 52.0
125 6 32.0
125 9 3.0
125 12 21.0
125 19 46.0
125 29 8.0
125 40 30.0
125 91 45.0
125 94 16.0
125 105 41.0
125 115 25.0
125 142 26.0
125 159 36.0
125 193 47.0
125 206 22.0
125 230 16.0
125 364 48.0
125 376 30.0
125 389 6.0
125 407 53.0
125 430 21.0
125 447 2.0
125 485 34.0
125 490 45.0
125 529 20.0
125 546 53.0
125 556 16.0
125 590 9.0
125 617 9.0
125 641 22.0
125 683 55.0
125 706 9.0
125 713 41.0
125 731 28.0
125 739 48.0
125 768 15.0
125 779 20.0
125 783 34.0
125 792 25.0
125 794 28.0
125 800 5.0
125 855 10.0
125 867 37.0
125 882 35.0
125 917 14.0
125 921 36.0
125 960 15.0
125 964 9.0
125 988 27.0
125 989 23.0
126 6 22.0
126 25 24.0
126 93 13.0
126 96 9.0
126 102 16.0
126 115 40.0
126 216 1.0
126 217 40.0
126 230 14.0
126 263 18.0
126 293 3.0
126 328 4.0
126 365 35.0
126 377 42.0
126 389 51.0
126 407 21.0
126 417 45.0
126 426 24.0
126 435 25.0
126 441 35.0
126 516 52.0
126 530 17.0
126 580 51.0
126 590 40.0
126 596 34.0
126 610 30.0
126 612 41.0
126 647 11.0
126 651 26.0
126 675 14.0
126 723 22.0
126 732 40.0
126 746 15.0
126 758 12.0
126 782 18.0
126 793 44.0
126 794 21.0
126 805 5.0
126 806 8.0
126 815 47.0
126 828 47.0
126 832 47.0
126 854 13.0
126 872 26.0
126 874 13.0
126 886 48.0
126 903 25.0
126 945 18.0
126 955 45.0
126 960 48.0
126 962 51.0
127 4 42.0
127 16 47.0
127 19 44.0
127 24 42.0
127 34 24.0
127 40 44.0
127 42 17.0
127 47 46.0
127 69 43.0
127 77 42.0
127 90 12.0
127 97 31.0
127 108 21.0
127 119 1.0
127 123 39.0
127 136 26.0
127 138 2.0
127 162 0.0
127 169 9.0
127 211 22.0
127 285 42.0
127 293 38.0
127 298 54.0
127 325 28.0
127 381 38.0
127 409 15.0
127 426 54.0
127 432 46.0
127 438 17.0
127 481 52.0
127 496 6.0
127 513 27.0
127 567 51.0
127 599 49.0
127 611 28.0
127 630 49.0
127 639 11.0
127 660 44.0
127 690 25.0
127 698 34.0
127 709 33.0
127 716 21.0
127 725 41.0
127 737 9.0
127 744 36.0
127 751 46.0
127 753 25.0
127 759 53.0
127 763 12.0
127 766 35.0
127 786 41.0
